Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
64350,KR7064350002,현대로템,KOSPI,,83100,1,3200,4.01,80000,84000,78600,2856172,234128000000.0,9069720000000.0,109142293,STK
3490,KR7003490000,대한항공,KOSPI,,23200,2,-400,-1.69,23650,23700,23150,1053508,24551247100.0,8542720000000.0,368220661,STK
47050,KR7047050000,포스코인터내셔널,KOSPI,,41400,2,-950,-2.24,42800,42900,41400,318601,13357218900.0,7283200000000.0,175922788,STK
5830,KR7005830005,DB손해보험,KOSPI,,101900,1,3600,3.66,98000,103000,97700,227275,23011184300.0,7214520000000.0,70800000,STK
10120,KR7010120004,LS ELECTRIC,KOSPI,,240000,2,-23000,-8.75,253500,256500,237500,817604,201349000000.0,7200000000000.0,30000000,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,156900,1,300,0.19,157800,158600,152600,92379,14313841300.0,7033700000000.0,44829210,STK
90430,KR7090430000,아모레퍼시픽,KOSPI,,119500,1,2800,2.4,117500,120400,117100,295017,35120848500.0,6989880000000.0,58492759,STK
10950,KR7010950004,S-Oil,KOSPI,,59500,1,500,0.85,59100,60000,59100,109571,6535100000.0,6698680000000.0,112582792,STK
3230,KR7003230000,삼양식품,KOSPI,,872000,1,69000,8.59,803000,882000,803000,99496,84214221000.0,6568790000000.0,7533015,STK
272210,KR7272210006,한화시스템,KOSPI,,34400,2,-500,-1.43,35100,35600,33050,10501689,359126000000.0,6498830000000.0,188919389,STK
79550,KR7079550000,LIG넥스원,KOSPI,,284500,2,-3500,-1.22,296000,296000,277000,382960,109121000000.0,6259000000000.0,22000000,STK
267250,KR7267250009,HD현대,KOSPI,,77800,2,-400,-0.51,79200,79200,77500,162524,12665527900.0,6145660000000.0,78993085,STK
11790,KR7011790003,SKC,KOSPI,,157800,2,-4300,-2.65,160100,162500,157600,330185,52650318400.0,5975620000000.0,37868298,STK
21240,KR7021240007,코웨이,KOSPI,,82000,1,3100,3.93,79900,82500,78300,116542,9466337200.0,5950230000000.0,72563745,STK
5387,KR7005382007,현대차2우B,KOSPI,,163700,1,200,0.12,163300,164000,162700,30945,5060546200.0,5853810000000.0,35759391,STK
180640,KR7180640005,한진칼,KOSPI,,85600,1,1900,2.27,84200,85800,83100,25152,2127819100.0,5714850000000.0,66762279,STK
150,KR7000150003,두산,KOSPI,,331000,1,1000,0.3,330500,346500,328000,142362,47869837500.0,5469390000000.0,16523835,STK
88980,KR7088980008,맥쿼리인프라,KOSPI,,11160,1,60,0.54,11090,11160,11050,529710,5883466060.0,5344770000000.0,478921993,STK
47810,KR7047810007,한국항공우주,KOSPI,,54800,2,-200,-0.36,55000,55100,53900,846480,46151360300.0,5341640000000.0,97475107,STK
64400,KR7064400005,LG씨엔에스,KOSPI,,54500,2,-1200,-2.15,55400,55500,54300,822606,45016050600.0,5280280000000.0,96885948,STK
450080,KR7450080007,에코프로머티,KOSPI,,74900,1,700,0.94,74200,76200,71300,406730,29848991200.0,5223420000000.0,69738568,STK
241560,KR7241560002,두산밥캣,KOSPI,,50000,1,2100,4.38,48350,50500,47950,699930,34518710950.0,5012460000000.0,100249166,STK
6800,KR7006800007,미래에셋증권,KOSPI,,8450,1,80,0.96,8390,8470,8330,369002,3109692090.0,4945920000000.0,585316408,STK
29780,KR7029780004,삼성카드,KOSPI,,42650,1,650,1.55,42050,43000,42000,61445,2617805550.0,4941380000000.0,115858891,STK
51900,KR7051900009,LG생활건강,KOSPI,,311500,2,-4500,-1.42,316000,316000,310500,21357,6695855500.0,4865070000000.0,15618197,STK
5940,KR7005940002,NH투자증권,KOSPI,,14850,1,340,2.34,14500,14850,14500,417304,6140544670.0,4863260000000.0,327492299,STK
34220,KR7034220004,LG디스플레이,KOSPI,,9520,1,50,0.53,9450,9560,9420,557831,5300818420.0,4760000000000.0,500000000,STK
32640,KR7032640005,LG유플러스,KOSPI,,10720,1,170,1.61,10560,10840,10550,704898,7568400040.0,4680470000000.0,436611361,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,37650,2,-200,-0.53,37850,37850,37450,172891,6509458850.0,4663900000000.0,123875069,STK
298040,KR7298040007,효성중공업,KOSPI,,487000,2,-10000,-2.01,500000,501000,475500,79459,38831075000.0,4541050000000.0,9324548,STK
